utility,incident_id,type,affected_points,start_local_raw,start_utc,etr_local_raw,etr_utc,centroid_lat,centroid_lng,bbox_lat_min,bbox_lng_min,bbox_lat_max,bbox_lng_max,retrieved_utc
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T17:14:59Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T17:29:57Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T17:44:55Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T17:59:55Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T18:14:59Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T18:29:56Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T18:44:57Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T18:59:56Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T23:16:48Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T23:31:30Z
anaheim,292655,Current Electric Outage,19,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,33.838742,-117.823004,33.8381092618,-117.82420345,33.8394238392,-117.82211808,2026-08-27T23:46:30Z
anaheim,292689,Current Electric Outage,6,8/27/2026 11:05 PM,2026-08-28T06:05:00Z,8/28/2026 10:00 AM,2026-08-28T17:00:00Z,33.849376,-117.857618,33.849035834,-117.857794177,33.8495317956,-117.857360829,2026-08-28T11:33:29Z
anaheim,292689,Current Electric Outage,6,8/27/2026 11:05 PM,2026-08-28T06:05:00Z,8/28/2026 2:00 PM,2026-08-28T21:00:00Z,33.849376,-117.857618,33.849035834,-117.857794177,33.8495317956,-117.857360829,2026-08-28T15:17:12Z
anaheim,292747,Current Electric Outage,8,8/29/2026 3:25 PM,2026-08-29T22:25:00Z,8/29/2026 7:30 PM,2026-08-30T02:30:00Z,33.836893,-117.984085,33.8367086005,-117.984486099,33.8370684698,-117.983686165,2026-08-29T23:26:13Z
anaheim,292747,Current Electric Outage,8,8/29/2026 3:25 PM,2026-08-29T22:25:00Z,8/29/2026 7:30 PM,2026-08-30T02:30:00Z,33.836893,-117.984085,33.8367086005,-117.984486099,33.8370684698,-117.983686165,2026-08-30T01:36:38Z
anaheim,292756,Current Electric Outage,18,8/30/2026 8:36 AM,2026-08-30T15:36:00Z,8/30/2026 4:00 PM,2026-08-30T23:00:00Z,33.858418,-117.915853,33.8575467673,-117.916016487,33.8591621973,-117.915496871052,2026-08-30T17:36:15Z
