utility,incident_id,type,latitude,longitude,start_local_raw,start_utc,etr_local_raw,etr_utc,retrieved_utc
anaheim,292655,Current Electric Outage,33.8383396349,-117.822772166,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8383212451,-117.823204873,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8382871723,-117.823238403,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8381863708,-117.823432146,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8381092618,-117.822341906,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8383690475,-117.822202302,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8384787415,-117.822155168,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8389595131,-117.82211808,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8389632603,-117.822317891,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8389827067,-117.822364799,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8389188165,-117.822764632,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8389169218,-117.82281566,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8388841736,-117.823187351,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.838950908,-117.823600969,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8391216515,-117.823731033,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
anaheim,292655,Current Electric Outage,33.8391708417,-117.82374242,8/27/2026 9:51 AM,2026-08-27T16:51:00Z,8/27/2026 5:00 PM,2026-08-28T00:00:00Z,2026-08-27T17:12:58Z
